               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037831,            0.044276,            0.010759,              0.7523,             0.63723,             0.66076,               0.398,            0.032177,             0.03483,           0.0099392,           0.0082675,           0.0082675,           0.0082675
                  37,            0.037733,            0.043768,            0.010717,             0.76496,             0.63081,             0.65702,             0.39642,            0.032094,            0.034775,           0.0099654,            0.008218,            0.008218,            0.008218
                  38,            0.037668,            0.043365,            0.010708,              0.7513,             0.63286,             0.65957,             0.39818,            0.032014,            0.034763,           0.0099282,           0.0081685,           0.0081685,           0.0081685
                  39,            0.037214,            0.042996,            0.010841,             0.74981,             0.63893,              0.6619,             0.40187,            0.031886,            0.034713,           0.0099712,            0.008119,            0.008119,            0.008119
                  40,            0.037409,            0.043279,            0.010388,             0.77719,             0.63618,             0.66249,              0.4022,            0.031834,            0.034648,           0.0098669,           0.0080695,           0.0080695,           0.0080695
                  41,            0.037606,            0.044349,            0.010572,             0.75593,             0.63673,             0.66364,             0.40023,            0.031828,            0.034633,           0.0098579,             0.00802,             0.00802,             0.00802
                  42,            0.037297,            0.042985,            0.010571,             0.74841,             0.63753,             0.66502,             0.40388,            0.031796,            0.034586,           0.0097301,           0.0079705,           0.0079705,           0.0079705
                  43,            0.037296,             0.04305,            0.010377,              0.7586,             0.64517,             0.66517,             0.40387,            0.031762,            0.034547,            0.009704,            0.007921,            0.007921,            0.007921
                  44,            0.037039,            0.042145,            0.010484,             0.77526,             0.64109,              0.6647,             0.40577,            0.031651,            0.034573,           0.0096308,           0.0078715,           0.0078715,           0.0078715
                  45,            0.036872,            0.042117,            0.010343,             0.73493,              0.6394,             0.66752,             0.40619,            0.031625,            0.034536,           0.0096013,            0.007822,            0.007822,            0.007822
                  46,             0.03684,            0.042798,           0.0099975,             0.76709,             0.63706,             0.66528,             0.40661,            0.031553,            0.034456,           0.0095585,           0.0077725,           0.0077725,           0.0077725
                  47,            0.036986,            0.042616,            0.010089,             0.76817,             0.64072,             0.66878,             0.40752,            0.031516,            0.034436,           0.0095857,            0.007723,            0.007723,            0.007723
                  48,             0.03685,            0.042773,            0.010154,             0.76703,             0.64314,             0.66945,             0.40901,            0.031487,            0.034452,           0.0095172,           0.0076735,           0.0076735,           0.0076735
                  49,            0.036961,            0.043349,           0.0096049,             0.77623,             0.63487,              0.6711,             0.40979,            0.031405,            0.034382,           0.0093994,            0.007624,            0.007624,            0.007624
                  50,            0.036697,            0.042694,           0.0098356,             0.77438,             0.63988,             0.67449,              0.4111,             0.03139,            0.034338,           0.0092983,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03676,            0.042416,           0.0099952,             0.73358,             0.65837,             0.67449,             0.41135,            0.031366,            0.034301,           0.0093008,            0.007525,            0.007525,            0.007525
                  52,            0.036564,            0.042716,           0.0097334,              0.7617,             0.64858,             0.67526,             0.41266,            0.031354,            0.034319,           0.0093234,           0.0074755,           0.0074755,           0.0074755
                  53,             0.03685,            0.042575,           0.0096175,             0.76412,             0.65311,             0.67505,             0.41282,            0.031329,            0.034302,           0.0092957,            0.007426,            0.007426,            0.007426
                  54,            0.036642,            0.042521,           0.0098208,             0.77665,             0.63895,             0.67683,              0.4154,            0.031287,            0.034282,            0.009237,           0.0073765,           0.0073765,           0.0073765
                  55,            0.036368,            0.042684,           0.0094315,             0.78025,             0.63626,             0.67743,             0.41545,            0.031266,            0.034262,           0.0091633,            0.007327,            0.007327,            0.007327
                  56,            0.036446,            0.041612,           0.0098322,             0.75164,             0.64139,             0.67789,             0.41589,            0.031257,            0.034261,           0.0091399,           0.0072775,           0.0072775,           0.0072775
                  57,            0.036642,            0.042352,           0.0095715,             0.73566,             0.64624,              0.6785,             0.41707,            0.031205,            0.034234,            0.009101,            0.007228,            0.007228,            0.007228
                  58,            0.036626,            0.042004,           0.0094527,              0.7798,             0.64128,             0.67747,             0.41731,            0.031172,            0.034211,           0.0091123,           0.0071785,           0.0071785,           0.0071785
                  59,            0.036291,            0.042329,           0.0093573,             0.76937,              0.6448,             0.67918,             0.41793,            0.031138,            0.034188,           0.0090992,            0.007129,            0.007129,            0.007129
                  60,            0.036339,            0.041888,           0.0092218,             0.75988,             0.64924,             0.67861,             0.41819,            0.031138,            0.034176,           0.0090508,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036273,            0.042344,           0.0092644,             0.75792,             0.64845,             0.67897,             0.41846,            0.031115,            0.034158,           0.0090009,             0.00703,             0.00703,             0.00703
                  62,            0.036137,            0.041698,           0.0091332,              0.7692,             0.64841,             0.67991,             0.41917,            0.031101,            0.034153,           0.0089753,           0.0069805,           0.0069805,           0.0069805
                  63,            0.036419,            0.042491,            0.009249,             0.77012,             0.64753,             0.68037,             0.41903,            0.031089,            0.034138,           0.0089725,            0.006931,            0.006931,            0.006931
                  64,            0.035998,            0.041991,           0.0089493,             0.77858,             0.64759,              0.6812,             0.41953,            0.031073,            0.034128,           0.0089554,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036249,            0.042305,           0.0090349,             0.78161,             0.64739,             0.68162,             0.42026,            0.031054,            0.034114,           0.0089184,            0.006832,            0.006832,            0.006832
                  66,            0.036259,            0.041628,           0.0091563,             0.77674,              0.6501,             0.68299,             0.42063,            0.031041,             0.03409,           0.0088716,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03599,            0.041985,           0.0089654,             0.77521,             0.65223,              0.6837,             0.42043,            0.031024,            0.034083,           0.0088421,            0.006733,            0.006733,            0.006733
                  68,            0.036006,             0.04153,           0.0089282,              0.7763,             0.65334,             0.68469,             0.42115,            0.030993,            0.034071,           0.0088371,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035769,            0.041146,           0.0087545,             0.76833,             0.65744,             0.68484,             0.42123,            0.030964,            0.034064,           0.0088265,            0.006634,            0.006634,            0.006634
                  70,            0.035797,            0.040638,           0.0088797,             0.77561,              0.6559,             0.68435,             0.42198,            0.030945,            0.034055,           0.0088182,           0.0065845,           0.0065845,           0.0065845
                  71,            0.035806,             0.04112,           0.0090693,             0.77953,             0.65341,             0.68526,             0.42232,            0.030927,            0.034052,           0.0088141,            0.006535,            0.006535,            0.006535
                  72,             0.03568,            0.041469,           0.0088052,             0.77825,             0.65429,             0.68671,             0.42255,            0.030909,            0.034045,           0.0088089,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035717,            0.041519,            0.008716,              0.7762,             0.65318,             0.68713,             0.42323,            0.030903,            0.034039,           0.0087984,            0.006436,            0.006436,            0.006436
                  74,            0.035752,            0.041799,            0.008503,             0.79966,             0.64954,             0.68786,             0.42327,             0.03089,            0.034037,           0.0087855,           0.0063865,           0.0063865,           0.0063865
                  75,            0.035924,            0.041747,           0.0086605,             0.79914,             0.65128,             0.68781,             0.42356,            0.030874,            0.034038,           0.0087798,            0.006337,            0.006337,            0.006337
                  76,            0.035451,            0.041139,           0.0085105,             0.80005,             0.65078,              0.6881,             0.42395,            0.030856,            0.034041,           0.0087779,           0.0062875,           0.0062875,           0.0062875
                  77,            0.035585,            0.040703,           0.0086135,             0.79129,             0.65235,             0.68788,             0.42375,             0.03084,            0.034032,           0.0087715,            0.006238,            0.006238,            0.006238
                  78,             0.03568,            0.041455,           0.0082205,             0.77656,             0.65384,             0.68808,              0.4235,            0.030828,            0.034022,           0.0087683,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035372,            0.040611,            0.008336,             0.77618,             0.65495,             0.68759,              0.4242,            0.030817,            0.034017,            0.008761,            0.006139,            0.006139,            0.006139
                  80,             0.03536,            0.041004,           0.0083931,             0.78182,             0.65308,              0.6884,             0.42481,            0.030808,            0.034013,           0.0087544,           0.0060895,           0.0060895,           0.0060895
                  81,            0.035361,            0.040912,           0.0082685,             0.78227,             0.65198,             0.68903,             0.42526,            0.030802,            0.034006,           0.0087487,             0.00604,             0.00604,             0.00604
                  82,             0.03565,            0.041608,           0.0082224,             0.78421,             0.65077,             0.69013,             0.42539,             0.03079,               0.034,           0.0087397,           0.0059905,           0.0059905,           0.0059905
                  83,            0.035206,            0.040473,           0.0084365,             0.78404,             0.65044,             0.68957,              0.4259,            0.030785,            0.033996,           0.0087364,            0.005941,            0.005941,            0.005941
                  84,            0.035375,             0.04097,           0.0082421,             0.78231,             0.65068,             0.69009,             0.42627,            0.030774,            0.033985,           0.0087291,           0.0058915,           0.0058915,           0.0058915
                  85,            0.035242,            0.040533,            0.008207,             0.77862,             0.65391,             0.68925,             0.42663,            0.030766,            0.033983,           0.0087269,            0.005842,            0.005842,            0.005842
                  86,             0.03543,            0.041107,           0.0079376,             0.78148,             0.64983,             0.68965,             0.42693,            0.030757,            0.033974,           0.0087274,           0.0057925,           0.0057925,           0.0057925
                  87,            0.034897,            0.040099,           0.0079743,              0.7808,             0.65048,             0.68977,             0.42698,            0.030749,            0.033969,            0.008725,            0.005743,            0.005743,            0.005743
                  88,            0.034888,            0.039882,           0.0080425,              0.7818,             0.65092,             0.69004,             0.42709,            0.030742,            0.033962,           0.0087238,           0.0056935,           0.0056935,           0.0056935
                  89,            0.035003,            0.040331,           0.0079631,             0.78227,             0.65084,             0.69051,             0.42718,            0.030734,            0.033957,           0.0087207,            0.005644,            0.005644,            0.005644
                  90,            0.035223,            0.040628,            0.008085,             0.78101,             0.65197,             0.69087,             0.42733,            0.030725,             0.03395,           0.0087148,           0.0055945,           0.0055945,           0.0055945
