               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036173,            0.042685,           0.0098693,             0.73816,             0.63352,             0.66672,              0.4106,            0.030997,            0.034164,           0.0098728,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036029,            0.042211,           0.0098752,             0.69437,             0.64856,             0.67062,             0.41602,            0.030896,            0.034123,           0.0097305,            0.008218,            0.008218,            0.008218
                  38,            0.035617,             0.04167,           0.0095769,             0.78226,             0.63601,             0.67234,             0.41493,            0.030644,            0.033961,           0.0095354,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035902,              0.0425,           0.0097126,             0.78114,             0.63409,             0.66835,             0.41434,            0.030688,            0.033991,           0.0095902,            0.008119,            0.008119,            0.008119
                  40,            0.035636,            0.041925,            0.009385,             0.77798,              0.6464,             0.67257,             0.41844,            0.030549,            0.033985,           0.0094369,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035406,            0.041046,           0.0095645,             0.69559,             0.64044,             0.67241,             0.41567,            0.030502,            0.033871,           0.0093482,             0.00802,             0.00802,             0.00802
                  42,            0.035473,            0.041048,           0.0094177,             0.70788,             0.65325,             0.67317,             0.41821,             0.03052,            0.033884,           0.0092862,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035483,            0.041735,           0.0092005,              0.7103,             0.64934,             0.67449,             0.42014,            0.030505,            0.033862,           0.0092705,            0.007921,            0.007921,            0.007921
                  44,            0.035451,            0.041828,           0.0092417,             0.74128,             0.65113,             0.67497,             0.42036,             0.03047,            0.033867,           0.0092169,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035397,            0.041644,           0.0089954,             0.77758,              0.6527,             0.67797,             0.42359,            0.030437,             0.03381,           0.0091251,            0.007822,            0.007822,            0.007822
                  46,            0.035587,            0.041615,           0.0088723,              0.7851,             0.64401,             0.67952,             0.42243,            0.030391,            0.033854,            0.009235,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035215,            0.041179,           0.0089425,             0.73759,             0.65181,             0.67999,             0.42356,            0.030346,            0.033801,           0.0093004,            0.007723,            0.007723,            0.007723
                  48,            0.035033,            0.040787,           0.0088812,              0.7482,             0.65623,             0.68217,             0.42544,            0.030257,            0.033689,           0.0092926,           0.0076735,           0.0076735,           0.0076735
