               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
44,0.037363,0.042943,0.011107,0.72119,0.61982,0.6544,0.39534,0.031859,0.034956,0.010123,0.0078715,0.0078715,0.0078715
45,0.03714,0.042969,0.010871,0.7327,0.61368,0.6539,0.39512,0.031806,0.034942,0.010138,0.007822,0.007822,0.007822
46,0.036982,0.043546,0.010562,0.70425,0.62231,0.65385,0.39749,0.031769,0.034885,0.010154,0.0077725,0.0077725,0.0077725
47,0.037193,0.043306,0.010545,0.75355,0.62339,0.65803,0.39921,0.031726,0.03485,0.01013,0.007723,0.007723,0.007723
48,0.037093,0.043414,0.010621,0.73805,0.62786,0.65878,0.40125,0.031621,0.034771,0.010018,0.0076735,0.0076735,0.0076735
49,0.03703,0.044111,0.010157,0.78233,0.62779,0.66124,0.40323,0.031608,0.034739,0.0099563,0.007624,0.007624,0.007624
50,0.036927,0.043354,0.010286,0.71989,0.6409,0.65888,0.40082,0.031648,0.034737,0.0099888,0.0075745,0.0075745,0.0075745
51,0.037078,0.043022,0.010375,0.73873,0.63198,0.66002,0.40053,0.031555,0.034728,0.0099456,0.007525,0.007525,0.007525
52,0.03676,0.043519,0.010235,0.71944,0.63315,0.65804,0.40097,0.031529,0.034731,0.0098781,0.0074755,0.0074755,0.0074755
53,0.037147,0.043229,0.010084,0.73812,0.6266,0.66155,0.40441,0.031516,0.034731,0.0098269,0.007426,0.007426,0.007426
54,0.036933,0.043274,0.010171,0.73441,0.62243,0.66397,0.40349,0.031543,0.034719,0.0097629,0.0073765,0.0073765,0.0073765
55,0.036666,0.043546,0.0099646,0.73481,0.62941,0.66384,0.40421,0.031514,0.034681,0.0097293,0.007327,0.007327,0.007327
56,0.036667,0.042239,0.010037,0.74401,0.62624,0.6637,0.40539,0.031464,0.034627,0.0096275,0.0072775,0.0072775,0.0072775
57,0.036865,0.043115,0.0099633,0.75104,0.62231,0.66512,0.40489,0.031412,0.034606,0.0095925,0.007228,0.007228,0.007228
58,0.036735,0.042708,0.009966,0.74705,0.62952,0.66533,0.40553,0.031408,0.034603,0.0096052,0.0071785,0.0071785,0.0071785
59,0.036705,0.04316,0.0097873,0.74996,0.62925,0.66399,0.40461,0.031402,0.034613,0.0096278,0.007129,0.007129,0.007129
60,0.036573,0.042622,0.0097262,0.74147,0.62494,0.66251,0.40359,0.031383,0.034609,0.0096,0.0070795,0.0070795,0.0070795
