               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042217,            0.048412,            0.014203,             0.71691,             0.58187,             0.59901,             0.33044,            0.036459,            0.037699,            0.012518,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042079,            0.047874,            0.013938,             0.72959,             0.57344,             0.59871,             0.33103,            0.036188,            0.037542,            0.012317,            0.008218,            0.008218,            0.008218
                  38,            0.041932,            0.047372,            0.013892,             0.72273,             0.58162,             0.60071,             0.33269,             0.03607,            0.037491,            0.012277,           0.0081685,           0.0081685,           0.0081685
                  39,            0.041598,            0.047074,            0.013855,             0.72583,             0.58157,              0.6016,             0.33559,            0.035994,            0.037452,            0.012249,            0.008119,            0.008119,            0.008119
                  40,            0.041735,            0.047438,            0.013458,             0.74022,             0.57751,             0.60653,             0.34116,            0.035723,            0.037344,            0.012144,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041965,            0.048523,            0.013758,             0.74502,             0.57434,             0.60928,             0.34153,            0.035846,            0.037285,            0.012022,             0.00802,             0.00802,             0.00802
                  42,            0.041614,            0.047077,            0.013876,             0.73097,              0.5844,             0.60758,             0.34046,            0.035861,            0.037246,            0.011871,           0.0079705,           0.0079705,           0.0079705
                  43,            0.041461,            0.047083,            0.013518,             0.74732,             0.57799,             0.60717,             0.33925,            0.035746,              0.0372,              0.0119,            0.007921,            0.007921,            0.007921
                  44,            0.041298,            0.046011,            0.013599,             0.73852,             0.58183,             0.61042,             0.34064,            0.035704,             0.03724,            0.011764,           0.0078715,           0.0078715,           0.0078715
                  45,             0.04121,            0.046094,            0.013277,             0.73869,             0.58642,             0.61339,             0.34125,            0.035739,            0.037209,            0.011663,            0.007822,            0.007822,            0.007822
                  46,            0.040981,            0.046769,            0.012966,              0.7488,             0.58648,             0.61695,             0.34909,            0.035533,            0.037103,            0.011508,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041072,            0.046501,            0.012953,             0.73772,             0.59421,             0.61828,             0.34824,            0.035626,            0.037124,            0.011447,            0.007723,            0.007723,            0.007723
                  48,            0.041027,            0.046682,            0.012943,             0.74762,              0.5906,             0.61833,             0.34926,            0.035517,            0.037045,            0.011455,           0.0076735,           0.0076735,           0.0076735
                  49,             0.04093,            0.047406,            0.012505,             0.76067,             0.58965,             0.62145,             0.35119,            0.035482,            0.036988,            0.011314,            0.007624,            0.007624,            0.007624
                  50,            0.040764,            0.046526,            0.012633,             0.76066,             0.58852,             0.62322,             0.35128,            0.035426,            0.036985,            0.011212,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040513,            0.046027,            0.012739,              0.7626,             0.58923,             0.62164,             0.35116,            0.035291,            0.036951,            0.011234,            0.007525,            0.007525,            0.007525
